




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (21)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
regulation of transepithelial transport (GO:0150111)	4	2	.00	+	 > 100	1.48E-05	3.71E-03
postsynaptic actin cytoskeleton organization (GO:0098974)	13	2	.01	+	 > 100	1.03E-04	2.09E-02
postsynaptic cytoskeleton organization (GO:0099188)	15	2	.02	+	 > 100	1.33E-04	2.63E-02
protein localization to cell-cell junction (GO:0150105)	18	2	.02	+	 > 100	1.86E-04	3.58E-02
negative regulation of translational initiation (GO:0045947)	19	2	.02	+	 > 100	2.05E-04	3.91E-02
cellular response to arsenic-containing substance (GO:0071243)	21	2	.02	+	93.40	2.47E-04	4.59E-02
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	7	.10	+	71.51	6.94E-12	1.10E-07
cotranslational protein targeting to membrane (GO:0006613)	101	7	.10	+	67.97	9.73E-12	7.69E-08
protein targeting to ER (GO:0045047)	112	7	.11	+	61.29	1.94E-11	1.02E-07
viral transcription (GO:0019083)	116	7	.12	+	59.18	2.46E-11	9.71E-08
establishment of protein localization to endoplasmic reticulum (GO:0072599)	116	7	.12	+	59.18	2.46E-11	7.77E-08
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	7	.12	+	57.21	3.08E-11	8.12E-08
cytoplasmic translation (GO:0002181)	122	7	.12	+	56.27	3.44E-11	7.78E-08
translational initiation (GO:0006413)	143	7	.15	+	48.01	1.00E-10	1.98E-07
protein localization to endoplasmic reticulum (GO:0070972)	143	7	.15	+	48.01	1.00E-10	1.76E-07
viral gene expression (GO:0019080)	172	7	.18	+	39.91	3.47E-10	5.49E-07
protein targeting to membrane (GO:0006612)	182	7	.19	+	37.72	5.08E-10	7.30E-07
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	7	.20	+	35.21	8.09E-10	9.83E-07
