seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr2	38977548	38977580	33	*	X010	79833	38978676	39009106	30431	+	1095	upstream	1095	GEMIN6
chr2	43452356	43452416	61	*	X011	100129726	43454350	43455994	1645	+	1933	upstream	1933	LINC01126
chr2	85766956	85767003	48	*	X012	100630918	85764590	85766009	1420	-	946	upstream	946	PARTICL
chr3	52029742	52029755	14	*	X022	6159	52027644	52029958	2315	-	0	inside	202	RPL29
chr4	83350030	83350201	172	*	X026	58478	83351726	83382244	30519	+	1524	upstream	1524	ENOPH1
chr5	891526	891680	155	*	X029	9319	892969	918164	25196	+	1288	upstream	1288	TRIP13
chr6	35436378	35436386	9	*	X039	4736	35436178	35438558	2381	+	0	inside	199	RPL10A
chr6	35436418	35436449	32	*	X040	4736	35436178	35438558	2381	+	0	inside	239	RPL10A
chr6	74230026	74230677	652	*	X042	1915	74225473	74230755	5283	-	0	inside	77	EEF1A1
chr6	133135819	133135925	107	*	X046	594839	133136446	133138490	2045	+	520	upstream	520	SNORA33
chr6	133135819	133135925	107	*	X046	6206	133135708	133138703	2996	+	0	inside	110	RPS12
chr7	5569674	5569978	305	*	X051	60	5566779	5570232	3454	-	0	inside	253	ACTB
chr7	26239773	26239780	8	*	X052	11335	26240831	26253227	12397	+	1050	upstream	1050	CBX3
chr9	130213289	130213316	28	*	X070	90678	130213765	130265780	52016	+	448	upstream	448	LRSAM1
chr9	130213455	130213511	57	*	X071	6136	130209953	130213711	3759	-	0	inside	199	RPL12
chr9	130213455	130213511	57	*	X071	90678	130213765	130265780	52016	+	253	upstream	253	LRSAM1
chr12	54674752	54674939	188	*	X080	23468	54624731	54673915	49185	-	836	upstream	836	CBX5
chr12	54674752	54674939	188	*	X080	3178	54674488	54680872	6385	+	0	inside	263	HNRNPA1
chr12	56511799	56511838	40	*	X081	84872	56512030	56516278	4249	+	191	upstream	191	ZC3H10
chr12	125398535	125398663	129	*	X082	100847004	125400093	125400205	113	+	1429	upstream	1429	MIR5188
chr13	45914617	45914768	152	*	X084	100190939	45915480	45965618	50139	+	711	upstream	711	TPT1-AS1
chr13	92001397	92001468	72	*	X085	406980	92002859	92003645	787	+	1390	upstream	1390	MIR19B1
chr14	70234614	70234658	45	*	X086	100289511	70233000	70234430	1431	-	183	upstream	183	LOC100289511
chr14	70234756	70234774	19	*	X087	100289511	70233000	70234430	1431	-	325	upstream	325	LOC100289511
chr16	89627305	89627410	106	*	X098	606500	89627838	89627909	72	+	427	upstream	427	SNORD68
chr16	89627305	89627410	106	*	X098	6137	89627065	89633237	6173	+	0	inside	239	RPL13
chr16	89627453	89627523	71	*	X099	606500	89627838	89627909	72	+	314	upstream	314	SNORD68
chr16	89627536	89627549	14	*	X100	606500	89627838	89627909	72	+	288	upstream	288	SNORD68
chr16	89627566	89627603	38	*	X101	606500	89627838	89627909	72	+	234	upstream	234	SNORD68
chr17	7476285	7476637	353	*	X105	652965	7478031	7478165	135	+	1393	upstream	1393	SNORA48
chr17	7476917	7477048	132	*	X106	652965	7478031	7478165	135	+	982	upstream	982	SNORA48
chr17	7477234	7477273	40	*	X107	652965	7478031	7478165	135	+	757	upstream	757	SNORA48
chr17	7477321	7477344	24	*	X108	652965	7478031	7478165	135	+	686	upstream	686	SNORA48
chr17	72200093	72200139	47	*	X110	6169	72199795	72206019	6225	+	0	inside	297	RPL38
chr17	74732426	74732558	133	*	X112	693221	74732532	74732630	99	-	0	overlapEnd	71	MIR636
chr17	74732426	74732558	133	*	X112	79157	74732272	74775336	43065	+	0	inside	153	MFSD11
chr17	79479662	79479686	25	*	X113	71	79476997	79479892	2896	-	0	inside	205	ACTG1
chr19	49990967	49991011	45	*	X133	23521	49990811	49995564	4754	+	0	inside	155	RPL13A
chr19	50000646	50000751	106	*	X134	84546	50000976	50001062	87	+	224	upstream	224	SNORD35B
chr22	39916634	39916680	47	*	X145	468	39916569	39918691	2123	+	0	inside	64	ATF4
chrX	12993299	12993416	118	*	X147	7114	12993226	12995346	2121	+	0	inside	72	TMSB4X
